ID	LABEL	FNDDS1112	FNDDS1314
FNDDS_11000000	Milk, human	11000000	11000000
FNDDS_11100000	Milk, NFS	11100000	11100000
FNDDS_11111000	Milk, whole	11111000	11111000
FNDDS_11111100	Milk, low sodium, whole	11111100	11111100
FNDDS_11111150	Milk, calcium fortified, whole	11111150	11111150
FNDDS_11111160	Milk, calcium fortified, low fat (1%)	11111160	11111160
FNDDS_11111170	Milk, calcium fortified, fat free (skim)	11111170	11111170
FNDDS_11112110	Milk, reduced fat (2%)	11112110	11112110
FNDDS_11112120	Milk, acidophilus, low fat (1%)	11112120	11112120
FNDDS_11112130	Milk, acidophilus, reduced fat (2%)	11112130	11112130
FNDDS_11112210	Milk, low fat (1%)	11112210	11112210
FNDDS_11113000	Milk, fat free (skim)	11113000	11113000
FNDDS_11114300	Milk, lactose free, low fat (1%)	11114300	11114300
FNDDS_11114310	Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium	11114310	
FNDDS_11114320	Milk, lactose free, fat free (skim)	11114320	11114320
FNDDS_11114321	Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium	11114321	
FNDDS_11114330	Milk, lactose free, reduced fat (2%)	11114330	11114330
FNDDS_11114350	Milk, lactose free, whole	11114350	11114350
FNDDS_11115000	Buttermilk, fat free (skim)	11115000	11115000
FNDDS_11115100	Buttermilk, low fat (1%)	11115100	11115100
FNDDS_11115200	Buttermilk, reduced fat (2%)	11115200	11115200
FNDDS_11115300	Buttermilk, whole	11115300	11115300
FNDDS_11115400	Kefir, NS as to fat content		11115400
FNDDS_11116000	Goat's milk, whole	11116000	11116000
FNDDS_11120000	Milk, dry, reconstituted, NS as to fat content	11120000	11120000
FNDDS_11121100	Milk, dry, reconstituted, whole	11121100	11121100
FNDDS_11121210	Milk, dry, reconstituted, low fat (1%)	11121210	11121210
FNDDS_11121300	Milk, dry, reconstituted, fat free (skim)	11121300	11121300
FNDDS_11210050	Milk, evaporated, NS as to fat content 	11210050	11210050
FNDDS_11211050	Milk, evaporated, whole 	11211050	11211050
FNDDS_11211400	Milk, evaporated, reduced fat (2%)	11211400	11211400
FNDDS_11212050	Milk, evaporated, fat free (skim)	11212050	11212050
FNDDS_11220000	Milk, condensed, sweetened	11220000	11220000
FNDDS_11320000	Soy milk	11320000	11320000
FNDDS_11320100	Soy milk, light	11320100	11320100
FNDDS_11320200	Soy milk, nonfat	11320200	11320200
FNDDS_11321000	Soy milk, chocolate	11321000	11321000
FNDDS_11321100	Soy milk, light, chocolate	11321100	11321100
FNDDS_11321200	Soy milk, nonfat, chocolate	11321200	11321200
FNDDS_11340000	Imitation milk, non-soy, sweetened	11340000	11340000
FNDDS_11350000	Almond milk, sweetened	11350000	11350000
FNDDS_11350010	Almond milk, sweetened, chocolate	11350010	11350010
FNDDS_11350020	Almond milk, unsweetened		11350020
FNDDS_11350030	Almond milk, unsweetened, chocolate		11350030
FNDDS_11360000	Rice milk	92205000	11360000
FNDDS_11370000	Coconut milk		11370000
FNDDS_11410000	Yogurt, NS as to type of milk or flavor	11410000	11410000
FNDDS_11411010	Yogurt, plain, NS as to type of milk	11411010	11411010
FNDDS_11411100	Yogurt, plain, whole milk	11411100	11411100
FNDDS_11411200	Yogurt, plain, low fat milk	11411200	11411200
FNDDS_11411300	Yogurt, plain, nonfat milk	11411300	11411300
FNDDS_11411400	Yogurt, Greek, plain, whole milk 		11411400
FNDDS_11411410	Yogurt, Greek, plain, low fat		11411410
FNDDS_11411420	Yogurt, Greek, plain, nonfat milk		11411420
FNDDS_11420000	Yogurt, vanilla, NS as to type of milk	11420000	11420000
FNDDS_11421000	Yogurt, vanilla, whole milk	11421000	11421000
FNDDS_11422000	Yogurt, vanilla, low fat milk	11422000	11422000
FNDDS_11422100	Yogurt, vanilla, low fat milk, light	11422100	11422100
FNDDS_11423000	Yogurt, vanilla, nonfat milk	11423000	11423000
FNDDS_11424000	Yogurt, vanilla, nonfat milk, light	11424000	11424000
FNDDS_11424500	Yogurt, Greek, vanilla, whole milk		11424500
FNDDS_11424510	Yogurt, Greek, vanilla, low fat		11424510
FNDDS_11424520	Yogurt, Greek, vanilla, nonfat		11424520
FNDDS_11425000	Yogurt, chocolate, NS as to type of milk	11425000	11425000
FNDDS_11426000	Yogurt, chocolate, whole milk	11426000	11426000
FNDDS_11427000	Yogurt, chocolate, nonfat milk	11427000	11427000
FNDDS_11428000	Yogurt, Greek, chocolate, nonfat		11428000
FNDDS_11430000	Yogurt, fruit, NS as to type of milk	11430000	11430000
FNDDS_11431000	Yogurt, fruit, whole milk	11431000	11431000
FNDDS_11432000	Yogurt, fruit, low fat milk	11432000	11432000
FNDDS_11432500	Yogurt, fruit, low fat milk, light	11432500	11432500
FNDDS_11433000	Yogurt, fruit, nonfat milk	11433000	11433000
FNDDS_11433500	Yogurt, fruit, nonfat milk, light	11433500	11433500
FNDDS_11434000	Yogurt, Greek, fruit, whole milk		11434000
FNDDS_11434010	Yogurt, Greek, fruit, low fat		11434010
FNDDS_11434020	Yogurt, Greek, fruit, nonfat		11434020
FNDDS_11446000	Fruit and low fat yogurt parfait	11446000	11446000
FNDDS_11459990	Yogurt, frozen, NS as to flavor, NS as to type of milk	11459990	11459990
FNDDS_11460000	Yogurt, frozen, flavors other than chocolate, NS as to type of milk	11460000	11460000
FNDDS_11460100	Yogurt, frozen, chocolate, NS as to type of milk	11460100	11460100
FNDDS_11460150	Yogurt, frozen, NS as to flavor, lowfat milk	11460150	11460150
FNDDS_11460160	Yogurt, frozen, chocolate, lowfat milk	11460160	11460160
FNDDS_11460170	Yogurt, frozen, flavors other than chocolate, lowfat milk	11460170	11460170
FNDDS_11460190	Yogurt, frozen, NS as to flavor, nonfat milk	11460190	11460190
FNDDS_11460200	Yogurt, frozen, chocolate, nonfat milk	11460200	11460200
FNDDS_11460250	Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated	11460250	11460250
FNDDS_11460300	Yogurt, frozen, flavors other than chocolate, nonfat milk	11460300	11460300
FNDDS_11460400	Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener	11460400	11460400
FNDDS_11460410	Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener	11460410	11460410
FNDDS_11460420	Yogurt, frozen, NS as to flavor, whole milk	11460420	11460420
FNDDS_11460430	Yogurt, frozen, chocolate, whole milk	11460430	11460430
FNDDS_11460440	Yogurt, frozen, flavors other than chocolate, whole milk	11460440	11460440
FNDDS_11461000	Yogurt, frozen, chocolate-coated	11461000	11461000
FNDDS_11461200	Yogurt, frozen, sandwich	11461200	11461200
FNDDS_11461250	Yogurt, frozen, cone, chocolate	11461250	11461250
FNDDS_11461260	Yogurt, frozen, cone, flavors other than chocolate	11461260	11461260
FNDDS_11461270	Yogurt, frozen, cone, flavors other than chocolate, lowfat milk	11461270	11461270
FNDDS_11461280	Yogurt, frozen, cone, chocolate, lowfat milk	11461280	11461280
