ID	LABEL	SR26	SR27	SR28
SR_1001	Butter, salted	1001	1001	1001
SR_1002	Butter, whipped, with salt	1002	1002	1002
SR_1003	Butter oil, anhydrous	1003	1003	1003
SR_1004	Cheese, blue	1004	1004	1004
SR_1005	Cheese, brick	1005	1005	1005
SR_1006	Cheese, brie	1006	1006	1006
SR_1007	Cheese, camembert	1007	1007	1007
SR_1008	Cheese, caraway	1008	1008	1008
SR_1009	Cheese, cheddar	1009	1009	1009
SR_1010	Cheese, cheshire	1010	1010	1010
SR_1011	Cheese, colby	1011	1011	1011
SR_1012	Cheese, cottage, creamed, large or small curd	1012	1012	1012
SR_1013	Cheese, cottage, creamed, with fruit	1013	1013	1013
SR_1014	Cheese, cottage, nonfat, uncreamed, dry, large or small curd	1014	1014	1014
SR_1015	Cheese, cottage, lowfat, 2% milkfat	1015	1015	1015
SR_1016	Cheese, cottage, lowfat, 1% milkfat	1016	1016	1016
SR_1017	Cheese, cream	1017	1017	1017
SR_1018	Cheese, edam	1018	1018	1018
SR_1019	Cheese, feta	1019	1019	1019
SR_1020	Cheese, fontina	1020	1020	1020
SR_1021	Cheese, gjetost	1021	1021	1021
SR_1022	Cheese, gouda	1022	1022	1022
SR_1023	Cheese, gruyere	1023	1023	1023
SR_1024	Cheese, limburger	1024	1024	1024
SR_1025	Cheese, monterey	1025	1025	1025
SR_1026	Cheese, mozzarella, whole milk	1026	1026	1026
SR_1027	Cheese, mozzarella, whole milk, low moisture	1027	1027	1027
SR_1028	Cheese, mozzarella, part skim milk	1028	1028	1028
SR_1029	Cheese, mozzarella, low moisture, part-skim	1029	1029	1029
SR_1030	Cheese, muenster	1030	1030	1030
SR_1031	Cheese, neufchatel	1031	1031	1031
SR_1032	Cheese, parmesan, grated	1032	1032	1032
SR_1033	Cheese, parmesan, hard	1033	1033	1033
SR_1034	Cheese, port de salut	1034	1034	1034
SR_1035	Cheese, provolone	1035	1035	1035
SR_1036	Cheese, ricotta, whole milk	1036	1036	1036
SR_1037	Cheese, ricotta, part skim milk	1037	1037	1037
SR_1038	Cheese, romano	1038	1038	1038
SR_1039	Cheese, roquefort	1039	1039	1039
SR_1040	Cheese, swiss	1040	1040	1040
SR_1041	Cheese, tilsit	1041	1041	1041
SR_1042	Cheese, pasteurized process, American, fortified with vitamin D	1042	1042	1042
SR_1043	Cheese, pasteurized process, pimento	1043	1043	1043
SR_1044	Cheese, pasteurized process, swiss	1044	1044	1044
SR_1045	Cheese food, cold pack, American	1045	1045	1045
SR_1046	Cheese food, pasteurized process, American, vitamin D fortified	1046	1046	1046
SR_1047	Cheese food, pasteurized process, swiss	1047	1047	1047
SR_1048	Cheese spread, pasteurized process, American	1048	1048	1048
SR_1049	Cream, fluid, half and half	1049	1049	1049
SR_1050	Cream, fluid, light (coffee cream or table cream)	1050	1050	1050
SR_1052	Cream, fluid, light whipping	1052	1052	1052
SR_1053	Cream, fluid, heavy whipping	1053	1053	1053
SR_1054	Cream, whipped, cream topping, pressurized	1054	1054	1054
SR_1055	Cream, sour, reduced fat, cultured	1055	1055	1055
SR_1056	Cream, sour, cultured	1056	1056	1056
SR_1057	Eggnog	1057	1057	1057
SR_1058	Sour dressing, non-butterfat, cultured, filled cream-type	1058	1058	1058
SR_1059	Milk, filled, fluid, with blend of hydrogenated vegetable oils	1059	1059	1059
SR_1060	Milk, filled, fluid, with lauric acid oil	1060	1060	1060
SR_1061	Cheese, American, nonfat or fat free	1061	1061	1061
SR_1067	Cream substitute, liquid, with hydrogenated vegetable oil and soy protein	1067	1067	1067
SR_1068	Cream substitute, liquid, with lauric acid oil and sodium caseinate	1068	1068	1068
SR_1069	Cream substitute, powdered	1069	1069	1069
SR_1070	Dessert topping, powdered	1070	1070	1070
SR_1071	Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk	1071	1071	1071
SR_1072	Dessert topping, pressurized	1072	1072	1072
SR_1073	Dessert topping, semi solid, frozen	1073	1073	1073
SR_1074	Sour cream, imitation, cultured	1074	1074	1074
SR_1076	Milk substitutes, fluid, with lauric acid oil	1076	1076	1076
SR_1077	Milk, whole, 3.25% milkfat, with added vitamin D	1077	1077	1077
SR_1078	Milk, producer, fluid, 3.7% milkfat	1078	1078	1078
SR_1079	Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D	1079	1079	1079
SR_1080	Milk, reduced fat, fluid, 2% milkfat, with added nonfat milk solids and vitamin A and vitamin D	1080	1080	1080
SR_1081	Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D	1081	1081	1081
SR_1082	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D	1082	1082	1082
SR_1083	Milk, lowfat, fluid, 1% milkfat, with added nonfat milk solids, vitamin A and vitamin D	1083	1083	1083
SR_1084	Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D	1084	1084	1084
SR_1085	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	1085	1085	1085
SR_1086	Milk, nonfat, fluid, with added nonfat milk solids, vitamin A and vitamin D (fat free or skim)	1086	1086	1086
SR_1087	Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)	1087	1087	1087
SR_1088	Milk, buttermilk, fluid, cultured, lowfat	1088	1088	1088
SR_1089	Milk, low sodium, fluid	1089	1089	1089
SR_1090	Milk, dry, whole, with added vitamin D	1090	1090	1090
SR_1091	Milk, dry, nonfat, regular, without added vitamin A and vitamin D	1091	1091	1091
SR_1092	Milk, dry, nonfat, instant, with added vitamin A and vitamin D	1092	1092	1092
SR_1093	Milk, dry, nonfat, calcium reduced	1093	1093	1093
SR_1094	Milk, buttermilk, dried	1094	1094	1094
SR_1095	Milk, canned, condensed, sweetened	1095	1095	1095
SR_1096	Milk, canned, evaporated, with added vitamin D and without added vitamin A	1096	1096	1096
SR_1097	Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D	1097	1097	1097
SR_1102	Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D	1102	1102	1102
SR_1103	Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D	1103	1103	1103
SR_1104	Milk, chocolate, lowfat, with added vitamin A and vitamin D	1104	1104	1104
