ID	LABEL
1	Veal, breast, raw
2	Veal, chop, raw
3	Veal, filet, steak, raw
4	Lamb (sheep), leg, raw (Switzerland, New Zealand)
5	Lamb (sheep), cutlet, raw (Switzerland)
6	Beef, minced, raw
7	Pork, minced, raw
8	Pork, chop, raw
9	Pork, ragout, raw
10	Veal, liver, raw
11	Veal, minced, raw
12	Deer, entrecôte, raw
13	Veal, chopped, raw
14	Veal, eye of round, raw
15	Veal, ragout, raw
16	Hare, filet, raw
17	Lamb (sheep), filet, raw (Australia, New Zealand)
18	Lamb (sheep), racks, raw (Australia, New Zealand)
19	Lamb, ragout, raw (Switzerland)
20	Chicken, breast, with skin, raw (Switzerland)
21	Chicken, breast, with skin, raw (France)
22	Chicken, breast, without skin, raw (Switzerland)
23	Chicken, breast, without skin, raw (France)
24	Chicken, leg, with skin, raw (Switzerland)
25	Chicken, leg, with skin, raw (France)
26	Chicken, leg, without skin, raw (Switzerland)
27	Chicken, leg, without skin, raw (France)
28	Roe (deer), ragout, raw
29	Roe (deer), schnitzel, raw
30	Beef, entrecôte, steak, raw (Switzerland)
31	Beef, entrecôte, steak, raw (USA)
32	Beef, prime rib, raw (Switzerland)
33	Beef, prime rib, raw (USA)
34	Beef, eye of round, raw
35	Beef, boiling meat, with fat, raw
36	Beef, boiling meat, lean, raw
37	Beef, chopped, raw
38	Beef, ragout, raw
39	Pork, spare ribs, raw
40	Pork, chopped, raw
41	Pork, throat, raw
42	Pork, loin, raw
43	Pork, eye of round, raw
47	Drinking water (average Switzerland)
49	Butter of choice
50	Butter, clarified
51	Cooking butter
52	Yogurt natural
53	Yogurt, strawberry
54	Yogurt, chocolate
55	Yogurt, hazelnut
56	Yogurt, vanilla
57	Yogurt, mocca
58	Yogurt Bifidus, plain
59	Milk partially skimmed, pasteurized
60	Butter, cheese dairy
61	Milk partially skimmed, UHT
62	Whole milk, pasteurized
63	Whole milk, UHT
64	Cow milk, skimmed, UHT
65	Cream, 35% fat, pasteurized
66	Cream, 35% fat, UHT
67	Cream, pasteurized, 25% fat
68	Cream, UHT
69	Coffee cream UHT
70	Curds min. 40% fidm
71	Curds with at most 10% fidm
72	Soya drink, plain
82	Mozzarella
99	Yogurt, mocca, organic
191	Butter, 40% fat
193	Salmon, smoked
194	Salmon, cultured, raw
195	Milk chocolate
196	Chocolate, dark
197	Chocolate, white
198	Oat flakes
202	Panettone
203	Wheat flour, high ash, type 1100
204	Wheat flour, bakery, type 550
205	Wheat flour, white, type 400
206	Wheat flour, wholemeal, type 1700
207	Wheat flour, semi white, type 720
208	Margarine
210	Salmon, wild, raw
211	Whitefish, raw
269	Almond, roasted, salted
270	Hazelnut
271	Walnut
272	Chestnut, raw
273	Almond
274	Pistachio, dried
275	Cashew nut
276	Pumpkin seeds
277	Linseed
278	Almond, dry roasted, salted
279	Brazil nut
280	Sesame seeds whole
281	Sunflower seeds
282	Peanut
283	Pine nuts
284	Coconut
285	Cod, raw
289	Trout, raw
290	Egg, raw
348	Tomato, raw
349	Eggplant, raw
350	Cauliflower, raw
351	Broccoli, raw
352	Fennel, raw
353	Bean, green, raw
354	Cucumber, raw
355	Carrot, raw
356	Garlic, raw
357	Celeriac, raw
358	Leek, raw
359	Bell pepper, green, raw
360	Bell pepper, red, raw
361	Radish, raw
362	Rhubarb, raw
363	Brussels sprouts, raw
364	Red cabbage, raw
365	Spinach, raw
366	Celery, raw
367	Zucchini, raw
368	Onion, raw
369	Green pea, raw
370	Lentil, whole, dried
371	Water cress, raw
372	Lamb's lettuce, raw
373	Parsley, fresh
374	Chives, fresh
375	Mushroom, raw
376	Chanterelle, raw
377	Pineapple, fresh
378	Apple, fresh
379	Apricot, raw
380	Avocado, fresh
381	Banana, raw
382	Pear, raw
383	Blackberry, fresh
384	Date, dried
385	Strawberry, fresh
386	Fig, fresh
387	Fig, dried
388	Grapefruit, fresh
389	Blueberry, raw
390	Raspberry, raw
391	Currant, red, raw
392	Currant, black, raw
393	Kaki, raw
394	Cherry, raw
395	Kiwi fruit, raw
396	Mango, fresh
397	Mandarin, fresh
398	Lemon, fresh
399	Honeydew melon, raw
400	Gooseberry, raw
401	Peach, fresh
402	Watermelon, fresh
403	Yellow plum, fresh
404	Nectarine, fresh
405	Orange, fresh
407	Peanut, roasted
410	Egg yolk, raw
411	Egg white, raw
412	Corn germ oil
